sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-12-29;1,308;1,338;1,338;1,361;1,30;1,308;1,325;451519,9527471695;598462,9;231;
2017-12-28;1,346;1,353;1,308;1,421;1,24;1,346;1,299;861826,7103542499;1119898,93;308;
2017-12-27;1,315;1,338;1,391;1,391;1,203;1,315;1,294;1131081,3741101848;1463457,32;491;
2017-12-22;1,391;1,421;1,436;1,503;1,376;1,413;1,434;497873,48959227145;714151,27;295;
2017-12-21;1,406;1,443;1,315;1,759;1,278;1,443;1,548;1391992,2948087072;2154597,83;683;
2017-12-20;1,30;1,346;1,533;1,579;1,278;1,315;1,462;1136913,4802268454;1662596,65;400;
2017-12-19;1,511;1,533;1,533;1,571;1,503;1,533;1,531;690689,5161773099;1057557,97;263;
2017-12-18;1,556;1,571;1,533;1,594;1,533;1,556;1,555;309206,719160943;480755,77;270;
2017-12-15;1,579;1,609;1,601;1,646;1,556;1,609;1,582;425266,16300896235;672698,02;234;
2017-12-14;1,601;1,639;1,616;1,646;1,571;1,601;1,605;238270,26969499842;382316,63;218;
2017-12-13;1,624;1,646;1,729;1,736;1,549;1,646;1,625;421257,92036993434;684637,36;312;
2017-12-12;1,579;1,616;1,579;1,729;1,518;1,729;1,60;548666,291517505;877862,7;383;
2017-12-11;1,556;1,579;1,721;1,759;1,533;1,556;1,579;1113531,8431131527;1758453,68;520;
2017-12-08;1,669;1,714;1,984;1,992;1,526;1,721;1,704;3522389,886404302;6002975,3;1399;
2017-12-07;2,368;2,39;2,345;2,39;2,285;2,368;2,318;219813,46306576685;509622,47;174;
2017-12-06;2,315;2,345;2,398;2,398;2,285;2,345;2,331;339958,3078910365;792448,53;190;
2017-12-05;2,375;2,398;2,405;2,405;2,293;2,398;2,351;422487,1325167853;993085,17;289;
2017-12-04;2,368;2,405;2,496;2,556;2,263;2,405;2,40;1414275,0907608212;3394062,81;796;
2017-12-01;2,39;2,481;4,886;4,999;2,353;2,436;2,655;4947318,149104498;13137105,28;2285;
2017-11-30;4,698;4,811;4,886;4,886;4,698;4,811;4,768;83521,24049322803;398207,9;79;
2017-11-29;4,736;4,811;4,886;4,886;4,736;4,811;4,844;95076,36680009738;460550,3;91;
2017-11-28;4,848;4,961;5,036;5,036;4,848;4,886;4,93;109228,27028299817;538492,25;113;
2017-11-27;4,886;4,924;4,773;4,999;4,773;4,961;4,885;149825,5290334854;731917,2;169;
2017-11-24;4,698;4,736;4,924;5,112;4,661;4,736;4,879;146213,72061497858;713443,5;148;
2017-11-23;4,961;5,036;5,187;5,187;4,924;5,036;4,993;70409,64426015131;351524,65;83;
2017-11-22;5,112;5,149;5,187;5,262;5,112;5,149;5,21;104862,17259256007;546386,1;106;
2017-11-21;5,112;5,149;4,961;5,187;4,961;5,149;5,10;156986,62101021552;800567,35;149;
2017-11-20;4,924;4,961;4,886;4,961;4,773;4,961;4,899;90347,09279354424;442611,15;91;
2017-11-17;4,811;4,886;4,886;4,924;4,736;4,811;4,815;39830,99663296976;191805,75;58;
2017-11-16;4,811;4,886;4,848;4,924;4,773;4,811;4,874;80848,6352951506;394089;79;
2017-11-15;4,736;4,848;4,661;4,848;4,623;4,848;4,743;112875,99723826362;535399,3;121;
2017-11-14;4,623;4,661;4,811;4,811;4,548;4,661;4,63;119470,37452391311;553136,05;104;
2017-11-13;4,698;4,811;4,811;4,924;4,661;4,811;4,753;129324,02644136433;614622,5;88;
2017-11-10;4,924;4,961;4,886;4,961;4,698;4,924;4,894;160547,877414025;785724,65;136;
2017-11-09;4,811;4,848;4,924;4,961;4,773;4,811;4,866;124761,04195684189;607057,65;100;
2017-11-08;4,886;4,924;4,924;4,924;4,773;4,924;4,85;54602,827454000995;264814,95;65;
2017-11-07;4,924;4,961;4,924;4,961;4,773;4,924;4,871;113454,68477493046;552676,3;137;
2017-11-06;4,886;4,961;5,036;5,112;4,811;4,961;4,982;123659,54016291053;616030,35;131;
2017-11-03;5,036;5,074;5,112;5,149;4,961;5,074;5,088;77771,6139794945;395731,65;90;
2017-11-02;4,961;5,074;4,961;5,112;4,811;5,112;4,963;217655,69022789647;1080118,6;168;
2017-11-01;4,848;4,886;4,999;5,036;4,811;4,886;4,903;157333,83353221562;771371,1;175;
2017-10-31;4,886;5,036;4,623;5,074;4,623;5,074;4,904;449575,03049749834;2204565,5;394;
2017-10-30;4,623;4,698;4,999;4,999;4,548;4,623;4,707;542557,4796361852;2553650,45;398;
2017-10-27;5,074;5,149;5,187;5,224;5,036;5,149;5,095;131737,21998507387;671165,4;140;
2017-10-26;5,074;5,187;5,187;5,224;4,999;5,187;5,12;88158,72268362021;451390,95;127;
2017-10-25;5,149;5,187;5,224;5,262;4,999;5,149;5,138;187754,17353442393;964645,6;224;
2017-10-24;5,149;5,187;4,961;5,262;4,924;5,187;5,087;298502,99520687083;1518469,7;302;
2017-10-23;4,811;4,886;5,074;5,074;4,773;4,811;4,926;140364,32038802662;691405,35;170;
2017-10-20;5,036;5,112;5,337;5,337;4,961;5,074;5,107;428236,7590305188;2186975,75;366;
2017-10-19;5,187;5,262;4,886;5,563;4,698;5,337;5,214;1162071,0894358263;6058654,3;837;
2017-10-18;4,736;4,773;4,585;4,886;4,585;4,773;4,728;279902,51443060475;1323315,4;306;
2017-10-17;4,51;4,585;4,661;4,661;4,473;4,585;4,578;258364,69553718835;1182732,7;170;
2017-10-16;4,623;4,661;4,51;4,661;4,36;4,661;4,49;254502,78767754734;1142600,7;156;
2017-10-13;4,473;4,51;4,51;4,548;4,435;4,51;4,493;60806,091783834265;273222,85;82;
2017-10-12;4,473;4,51;4,473;4,585;4,473;4,51;4,508;131008,20672049127;590529,55;149;
2017-10-11;4,473;4,51;4,548;4,585;4,473;4,51;4,522;100594,51829916416;454879,2;122;
2017-10-10;4,51;4,548;4,773;4,773;4,51;4,548;4,611;139293,41586614892;642301,8;159;
2017-10-09;4,623;4,661;4,51;4,736;4,473;4,661;4,606;243024,81970890023;1119331,25;241;
2017-10-06;4,51;4,548;4,51;4,773;4,435;4,51;4,562;256983,8273462454;1172478,8;284;
2017-10-05;4,473;4,585;4,435;4,585;4,247;4,51;4,369;332444,6821276013;1452437,3;304;
2017-10-04;4,435;4,473;4,51;4,585;4,172;4,435;4,379;904689,4975528835;3961342,15;657;
2017-10-03;4,623;4,736;5,262;5,337;4,585;4,698;4,869;818375,9234057158;3984484,5;689;
2017-10-02;5,149;5,187;4,999;5,224;4,585;5,187;4,952;865250,9441919061;4284903,55;797;
2017-09-29;4,961;4,999;5,638;6,202;4,473;4,999;5,637;2799867,234445611;15781597,35;2114;
2017-09-28;5,487;5,525;4,886;5,563;4,886;5,525;5,29;1763396,6164738375;9327652,75;1400;
2017-09-27;4,773;4,811;4,322;5,60;4,21;4,811;4,751;1117975,099141813;5311078,7;885;
2017-09-26;4,134;4,21;4,022;4,21;4,022;4,21;4,13;153267,05698143278;633007,6;115;
2017-09-25;4,022;4,097;4,059;4,134;4,022;4,022;4,092;281043,9257098235;1150012,75;212;
2017-09-22;3,984;4,022;3,759;4,059;3,759;4,022;3,938;273546,26374050323;1077112,15;185;
2017-09-21;3,796;3,834;3,834;3,909;3,759;3,796;3,823;78333,00740587016;299433,75;101;
2017-09-20;3,796;3,871;3,834;3,871;3,759;3,759;3,811;88416,80402181187;336917,25;59;
2017-09-19;3,759;3,834;3,871;3,946;3,759;3,834;3,84;107053,2033348366;411096,6;112;
2017-09-18;3,871;3,946;3,984;4,059;3,834;3,871;3,915;135555,22741089875;530647,3;151;
2017-09-15;3,984;4,022;3,984;4,022;3,796;3,984;3,955;377176,5635538599;1491906,75;155;
2017-09-14;3,796;3,871;3,834;3,984;3,691;3,871;3,864;325682,68500374484;1258416,51;199;
2017-09-13;3,721;3,796;3,713;3,759;3,571;3,759;3,729;223411,96832251124;833183,63;99;
2017-09-12;3,683;3,713;3,683;3,721;3,533;3,713;3,653;81375,44050094386;297296,73;114;
2017-09-11;3,608;3,706;3,608;3,706;3,39;3,683;3,622;118536,49256818868;429286,35;120;
2017-09-08;3,668;3,676;3,736;3,736;3,571;3,676;3,693;79157,80343514243;292343,96;110;
2017-09-07;3,713;3,728;3,751;3,751;3,42;3,698;3,645;198668,0874443429;724088,5;162;
2017-09-06;3,631;3,661;3,759;3,759;3,405;3,661;3,596;373842,7912161884;1344260,69;276;
2017-09-05;3,661;3,713;3,195;3,834;3,195;3,736;3,546;554842,9495238133;1967521,76;408;
2017-09-04;3,187;3,24;3,30;3,30;3,172;3,247;3,231;143579,69458601228;463903,23;152;
2017-09-01;3,217;3,262;3,232;3,277;3,187;3,277;3,237;61273,03276169648;198336,4;102;
2017-08-31;3,202;3,247;3,217;3,277;3,172;3,202;3,227;77352,56438397715;249586,36;112;
2017-08-30;3,202;3,232;3,12;3,30;3,12;3,217;3,219;84340,71525779532;271498,82;136;
2017-08-29;3,165;3,187;3,30;3,30;3,157;3,165;3,218;217118,24249269324;698584,38;230;
2017-08-28;3,292;3,30;3,36;3,36;3,247;3,30;3,298;89022,09788200362;293612,77;113;
2017-08-25;3,21;3,232;3,195;3,285;3,12;3,232;3,208;89055,35578640977;285682,82;96;
2017-08-24;3,21;3,225;3,247;3,33;3,172;3,217;3,23;160917,70531102127;519750,59;145;
2017-08-23;3,232;3,285;3,383;3,383;3,232;3,24;3,307;178002,95596254364;588625,72;176;
2017-08-22;3,345;3,398;3,383;3,473;3,307;3,375;3,367;111278,28751059265;374686,47;114;
2017-08-21;3,345;3,375;3,42;3,495;3,375;3,383;3,426;107694,41573178698;369003,17;128;
2017-08-18;3,413;3,48;3,533;3,533;3,413;3,42;3,453;88286,4330365398;304836,51;106;
2017-08-17;3,548;3,556;3,593;3,593;3,465;3,548;3,505;41881,01386056424;146790,47;80;
2017-08-16;3,48;3,51;3,518;3,518;3,458;3,518;3,49;30266,023325763835;105625,8;74;
2017-08-15;3,488;3,518;3,495;3,548;3,428;3,518;3,482;54614,80029958721;190178;83;
2017-08-14;3,51;3,525;3,495;3,593;3,398;3,51;3,491;62242,833254179524;217262,19;72;
2017-08-11;3,518;3,533;3,623;3,623;3,383;3,518;3,482;90206,0792788622;314091,11;119;
2017-08-10;3,571;3,586;3,653;3,653;3,518;3,556;3,574;120474,76323697854;430535,62;129;
2017-08-09;3,653;3,668;3,706;3,706;3,608;3,653;3,648;58681,57685037003;214090,43;110;
2017-08-08;3,661;3,683;3,706;3,706;3,571;3,691;3,626;85780,11736049308;311067,91;133;
2017-08-07;3,571;3,593;3,556;3,638;3,556;3,571;3,589;53833,90470413103;193185,58;104;
2017-08-04;3,556;3,578;3,601;3,601;3,533;3,556;3,552;62019,34013657026;220301,82;101;
2017-08-03;3,586;3,593;3,563;3,601;3,518;3,586;3,568;33126,20310469189;118181,17;82;
2017-08-02;3,563;3,586;3,623;3,623;3,465;3,563;3,556;85407,6288311443;303699,22;100;
2017-08-01;3,601;3,638;3,668;3,668;3,571;3,623;3,616;92250,77524175172;333584,79;116;
2017-07-31;3,668;3,683;3,623;3,736;3,623;3,668;3,685;95351,74224858022;351343,17;118;
2017-07-28;3,683;3,713;3,691;3,721;3,623;3,691;3,672;45855,99859518612;168385,13;91;
2017-07-27;3,691;3,728;3,653;3,759;3,653;3,691;3,734;54401,94971138791;203130,76;83;
2017-07-26;3,646;3,668;3,646;3,759;3,608;3,646;3,695;113996,12345866243;421264,52;143;
2017-07-25;3,616;3,646;3,608;3,676;3,578;3,623;3,625;152266,65921689608;552000,34;186;
2017-07-24;3,458;3,48;3,345;3,563;3,345;3,488;3,42;55134,95392449924;188552,88;93;
2017-07-21;3,353;3,375;3,307;3,48;3,232;3,353;3,36;186701,89343901366;627394,13;180;
2017-07-20;3,383;3,398;3,458;3,458;3,353;3,398;3,39;205625,64104610746;697139,77;169;
2017-07-19;3,51;3,525;3,563;3,563;3,48;3,51;3,51;120179,43304585201;421812,24;99;
2017-07-18;3,563;3,608;3,653;3,653;3,533;3,563;3,583;89036,73135994232;319012,71;81;
2017-07-17;3,631;3,646;3,676;3,683;3,601;3,653;3,626;117176,90943606567;424830,62;83;
2017-07-14;3,646;3,683;3,646;3,691;3,608;3,676;3,653;78068,27448679728;285183,32;77;
2017-07-13;3,623;3,646;3,668;3,713;3,608;3,646;3,64;135223,9786830136;492258,88;78;
2017-07-12;3,661;3,721;3,683;3,736;3,646;3,661;3,692;72246,8108995465;266711,57;70;
2017-07-11;3,683;3,713;3,759;3,796;3,668;3,683;3,709;54401,94971138791;201800,47;70;
2017-07-10;3,743;3,796;3,683;3,796;3,683;3,743;3,73;46171,28352895633;172209,42;55;
2017-07-07;3,683;3,721;3,751;3,834;3,683;3,721;3,761;118654,89070787455;446287,59;92;
2017-07-06;3,728;3,759;3,834;3,834;3,728;3,751;3,774;37800,93414801896;142658,32;52;
2017-07-05;3,721;3,759;3,796;3,909;3,721;3,743;3,782;196683,25570938445;743916,08;95;
2017-07-04;3,759;3,834;3,751;3,834;3,751;3,796;3,765;121783,79435440422;458534,8;61;
2017-07-03;3,759;3,834;3,759;3,871;3,616;3,759;3,74;222891,81469759918;833590,16;112;
2017-06-30;3,728;3,759;3,721;3,834;3,586;3,796;3,70;122864,01108951565;454601,31;133;
2017-06-29;3,661;3,683;3,984;3,984;3,571;3,706;3,732;433041,86105911794;1616332,46;289;
2017-06-28;3,834;3,909;3,984;3,984;3,796;3,871;3,893;246897,3700979512;961093,1;157;
2017-06-27;3,909;3,946;3,796;4,022;3,796;3,946;3,949;375763,76777468703;1483886,5;223;
2017-06-26;3,759;3,796;3,683;3,796;3,646;3,796;3,723;315717,286527489;1175367,54;181;
2017-06-22;3,683;3,691;3,683;3,706;3,608;3,683;3,663;82411,7568022392;301854,39;87;
2017-06-21;3,646;3,661;3,721;3,721;3,608;3,638;3,641;98366,23870395277;358163,55;119;
2017-06-20;3,653;3,698;3,721;3,721;3,638;3,676;3,664;177702,30450671213;651112,21;139;
2017-06-19;3,683;3,698;3,653;3,736;3,638;3,706;3,678;169681,82828012734;624038,44;188;
2017-06-16;3,676;3,706;3,646;3,759;3,608;3,653;3,711;185290,42797601706;687617,58;217;
2017-06-15;3,571;3,586;3,728;3,728;3,578;3,586;3,624;87815,50111014885;318215,01;99;
2017-06-14;3,631;3,646;3,653;3,751;3,616;3,631;3,666;387438,6225374185;1420406,17;201;
2017-06-13;3,683;3,706;3,759;3,759;3,571;3,683;3,658;283829,60778288176;1038374,02;230;
2017-06-12;3,751;3,759;3,728;3,796;3,691;3,759;3,742;197522,68521659545;739091,53;129;
2017-06-09;3,721;3,728;3,728;3,759;3,683;3,728;3,726;157015,8879660929;585048,62;158;
2017-06-08;3,706;3,736;3,736;3,796;3,706;3,728;3,732;185624,3373362547;692715,34;135;
2017-06-07;3,743;3,796;3,834;3,834;3,736;3,736;3,765;127490,85075049787;479988,25;169;
2017-06-05;3,743;3,759;3,871;3,871;3,698;3,736;3,749;212294,5160376267;795803,78;263;
2017-06-02;3,834;3,871;3,736;3,909;3,736;3,834;3,80;193164,56942321482;734092,2;196;
2017-06-01;3,759;3,796;3,909;3,984;3,736;3,736;3,834;305261,00138219853;1170450,8;308;
2017-05-31;3,871;3,909;4,097;4,097;3,834;3,909;3,933;293999,8749502794;1156278,95;265;
2017-05-30;4,097;4,134;4,022;4,134;3,909;4,097;4,015;230674,164328636;926259,3;217;
2017-05-29;3,946;4,022;4,059;4,134;3,871;4,022;4,004;226500,96248375354;906842,35;220;
2017-05-26;4,059;4,097;4,097;4,21;3,946;4,059;4,112;415195,6695547831;1707225,05;257;
2017-05-24;4,022;4,097;4,285;4,322;3,984;4,097;4,183;338025,3584869516;1414056,95;215;
2017-05-23;4,134;4,172;3,946;4,21;3,946;4,21;4,078;1012338,682534678;4128024,25;472;
2017-05-22;3,909;3,946;3,909;4,247;3,871;3,909;4,003;1161083,9948330521;4647935,9;751;
2017-05-19;3,796;3,834;3,413;3,871;3,383;3,871;3,681;1086835,0580882558;4000863,93;804;
2017-05-18;3,368;3,405;3,398;3,495;3,345;3,368;3,415;655099,5675142112;2237087,81;416;
2017-05-17;3,405;3,458;3,661;3,661;3,383;3,398;3,496;654276,1018011151;2287522,17;567;
2017-05-16;3,616;3,631;3,721;3,728;3,503;3,631;3,626;581918,8746589402;2109847,31;434;
2017-05-15;3,691;3,713;3,796;3,834;3,683;3,683;3,738;566364,8179262766;2117098,28;424;
2017-05-12;3,759;3,834;3,759;3,834;3,759;3,796;3,79;481209,94916861894;1823716,6;317;
2017-05-11;3,796;3,834;3,909;3,909;3,698;3,796;3,785;1160680,9090316496;4393241,77;657;
2017-05-10;3,871;3,909;4,134;4,21;3,834;3,909;3,928;2435415,1451175404;9565705,3;895;
2017-05-09;4,097;4,134;4,285;4,285;3,871;4,134;4,081;2985185,599061329;12182389,53;1571;
2017-05-08;4,247;4,285;3,135;4,961;3,135;4,322;4,316;20377675,432119954;87958272,42;8832;
2017-05-05;13,305;13,455;13,531;13,606;13,155;13,305;13,374;155999,52640744127;2086257,8;162;
2017-05-04;13,606;13,756;13,681;13,982;13,155;13,606;13,677;268882,1752265861;3677391,2;277;
2017-05-03;13,606;13,681;13,906;13,906;13,606;13,681;13,75;170899,06758139207;2349864,5;215;
2017-05-02;13,531;13,606;13,305;13,982;13,305;13,606;13,673;289262,6190466688;3955019,4;337;
2017-04-28;13,155;13,305;12,779;13,305;12,553;13,155;12,889;213856,30722853902;2756324,8;250;
2017-04-27;12,779;12,854;13,004;13,08;12,779;12,779;12,911;138138,70142516773;1783545,8;204;
2017-04-26;13,004;13,155;13,08;13,38;13,004;13,08;13,177;84678,61556656171;1115829,3;185;
2017-04-25;13,08;13,155;13,681;13,756;13,08;13,08;13,258;200452,04143668828;2657493,7;235;
2017-04-24;13,455;13,531;13,004;13,756;13,004;13,455;13,391;156897,48982640705;2101040,7;239;
2017-04-21;13,004;13,08;13,455;13,681;13,004;13,004;13,393;198645,47206934672;2660460,2;251;
2017-04-20;13,455;13,606;13,531;14,207;13,155;13,455;13,649;302524,5410076613;4129029,4;367;
2017-04-19;13,38;13,455;14,282;14,357;13,305;13,455;13,746;503440,8627898593;6920355,2;656;
2017-04-18;14,357;14,508;15,26;15,635;14,132;14,357;14,906;442243,6580502088;6591927,8;605;
2017-04-13;15,184;15,26;15,26;15,635;14,884;15,26;15,217;245944,86371575933;3742541,55;397;
2017-04-12;15,26;15,335;14,207;16,462;14,132;15,41;15,346;1796940,5388578705;27581933,3;2413;
2017-04-11;13,982;14,057;13,531;14,658;13,08;13,906;13,94;527931,983594541;7359152,5;703;
2017-04-10;13,305;13,38;12,553;13,606;12,553;13,305;13,285;352547,08986684866;4683557,3;394;
2017-04-07;12,478;12,553;12,328;12,779;12,253;12,553;12,512;184897,98470402462;2313436,4;193;
2017-04-06;12,553;12,629;12,553;12,779;12,403;12,553;12,624;253695,28575856626;3202551,75;217;
2017-04-05;12,629;12,704;12,779;13,004;12,478;12,704;12,725;193743,25695988166;2465465,1;216;
2017-04-04;12,779;12,854;13,155;13,155;12,779;12,854;12,94;126709,95515504171;1639608;205;
2017-04-03;12,854;12,929;13,23;13,23;12,854;12,929;13,041;199213,5170766036;2597907,8;195;
2017-03-31;12,929;13,004;13,155;13,155;12,629;12,929;12,873;342101,44725096813;4403708,1;317;
2017-03-30;13,155;13,23;13,38;13,455;12,854;13,23;13,151;234148,95018098954;3079374,8;264;
2017-03-29;13,305;13,38;13,004;13,531;12,929;13,38;13,265;318444,4346887925;4224092,5;349;
2017-03-28;12,929;13,004;14,057;14,057;12,779;12,929;13,346;531150,0184248791;7088971,3;503;
2017-03-27;13,831;13,982;13,982;14,282;13,606;14,057;14,054;232168,1093945598;3263004,5;314;
2017-03-24;13,906;13,982;14,959;14,959;13,906;13,982;14,346;287474,67410579475;4124135,9;337;
2017-03-23;14,057;14,207;14,207;14,809;14,057;14,207;14,507;424734,03653846413;6161541,7;430;
2017-03-22;14,282;14,357;14,733;14,733;13,23;14,207;13,966;544374,6915329366;7602498,7;705;
2017-03-21;14,508;14,658;14,658;14,884;14,282;14,508;14,598;535360,4691226964;7815219,3;543;
2017-03-20;14,132;14,207;14,282;14,508;13,681;14,132;14,196;638596,9953478844;9064307,6;753;
2017-03-17;13,38;13,455;12,929;14,132;12,929;13,531;13,587;883202,2306741644;11999844,7;818;
2017-03-16;12,704;12,779;12,027;12,779;12,027;12,779;12,506;531426,7241895382;6649546,8;451;
2017-03-15;11,952;12,027;12,178;12,253;11,877;12,027;12,015;206191,02542101181;2477442,5;205;
2017-03-14;11,877;12,027;11,802;12,253;11,501;11,877;11,895;277831,21214419033;3304869,7;266;
2017-03-13;11,802;12,027;11,651;12,403;11,651;11,802;12,018;356978,3730499228;4290226,4;338;
2017-03-10;11,426;11,501;11,426;11,651;10,824;11,501;11,206;515388,4323687211;5775324,5;411;
2017-03-09;11,426;11,501;12,102;12,403;11,351;11,501;11,767;702148,8597194896;8261530,05;483;
2017-03-08;12,102;12,178;12,553;13,23;11,952;12,102;12,556;686706,5495456306;8622214,8;603;
2017-03-07;12,403;12,478;11,651;12,553;11,651;12,553;12,267;370195,0642609229;4541152;417;
2017-03-06;11,576;11,651;11,576;11,952;11,276;11,651;11,547;415283,4704224153;4795068,8;295;
2017-03-03;11,351;11,426;11,276;11,952;11,276;11,426;11,587;580660,3955562119;6728255;497;
2017-03-02;11,125;11,238;12,629;12,704;11,05;11,20;11,868;701800,3168813132;8328378;742;
2017-03-01;12,629;12,704;12,478;13,08;12,328;12,629;12,714;1031637,5793034731;13117153,5;975;
2017-02-28;12,178;12,328;10,90;12,929;10,749;12,328;12,021;1361474,841725633;16366103;1507;
2017-02-27;10,599;10,637;9,922;10,749;9,922;10,637;10,406;486383,5487780381;5061832,15;449;
2017-02-24;9,885;9,922;9,922;9,998;9,547;9,922;9,853;410039,36405565514;4040029,75;289;
2017-02-23;9,81;9,885;9,697;10,11;9,321;9,772;9,766;546738,663378125;5339389,15;403;
2017-02-22;9,547;9,622;9,096;9,847;8,945;9,622;9,386;1404861,7734977072;13186531,3;443;
2017-02-21;9,02;9,096;8,832;9,096;8,72;9,096;8,946;101207,79405641339;905414,2;81;
2017-02-20;8,795;8,832;8,983;9,284;8,682;8,832;9,031;154778,2961576478;1397764,8;137;
2017-02-17;8,945;8,983;9,096;9,133;8,945;9,02;9,01;264590,5752420178;2384063,7;178;
2017-02-16;9,133;9,171;9,584;9,622;9,02;9,171;9,247;179938,56599898098;1664064,38;142;
2017-02-15;9,396;9,509;9,735;9,772;9,359;9,509;9,653;109084,59613596364;1052990;134;
2017-02-14;9,434;9,471;9,735;9,922;9,396;9,396;9,656;98834,50999799123;954364,1;117;
2017-02-13;9,622;9,659;9,434;9,81;9,246;9,622;9,596;311752,9443222771;2991438,4;203;
2017-02-10;9,246;9,396;9,547;9,697;9,246;9,396;9,509;93071,58032249525;885047,65;94;
2017-02-09;9,396;9,471;9,434;9,772;9,396;9,434;9,559;115730,8557524867;1106222;123;
2017-02-08;9,584;9,659;9,735;9,772;9,509;9,584;9,688;117191,54291400438;1135321;89;
2017-02-07;9,622;9,697;9,772;9,772;9,622;9,697;9,702;141173,15262318397;1369692,5;92;
2017-02-06;9,659;9,772;9,922;10,148;9,659;9,697;9,888;233288,23561495863;2306820,8;204;
2017-02-03;9,735;9,81;9,622;9,922;9,622;9,735;9,822;358663,88364522595;3522432,3;221;
2017-02-02;9,697;9,772;9,547;9,847;9,509;9,697;9,71;247533,2612301966;2403372,73;208;
2017-02-01;9,509;9,547;9,02;9,697;9,02;9,547;9,436;190013,050401689;1792917,6;190;
2017-01-31;8,945;9,02;9,096;9,096;8,908;9,02;9,017;79700,57243505065;718626,85;75;
2017-01-30;8,945;9,096;9,171;9,171;8,908;9,02;9,04;116620,83727439501;1054260,75;106;
2017-01-27;8,87;8,945;8,832;9,02;8,832;8,87;8,948;57047,94858594042;510465,4;68;
2017-01-26;8,87;8,983;8,757;9,246;8,757;8,832;8,998;166757,7933247395;1500534,4;118;
2017-01-25;8,87;8,945;8,832;8,945;8,682;8,832;8,793;54912,79112306622;482859,8;73;
2017-01-24;8,87;8,908;9,02;9,096;8,795;8,87;8,999;129144,43375757117;1162173,05;93;
2017-01-23;8,908;9,02;8,945;9,171;8,908;8,983;9,00;289649,7410539563;2606932,9;137;
2017-01-20;8,87;8,945;9,02;9,02;8,682;8,945;8,902;93493,29055036511;832243,7;82;
2017-01-19;8,795;8,87;8,494;9,058;8,494;8,795;8,848;83954,9235666841;742844,45;85;
2017-01-18;8,569;8,607;8,569;8,72;8,306;8,682;8,538;93960,23152822732;802186,2;82;
2017-01-17;8,569;8,757;8,419;8,757;8,269;8,569;8,541;65790,78649622656;561892,75;81;
2017-01-16;8,72;8,757;9,02;9,471;8,72;8,72;9,018;168575,005221491;1520280,45;153;
2017-01-13;8,832;8,87;9,02;9,396;8,832;8,87;9,046;303120,52265461935;2742131,25;276;
2017-01-12;8,72;8,757;8,494;8,832;8,419;8,72;8,682;114521,59834827944;994266;119;
2017-01-11;8,457;8,494;8,344;8,645;8,156;8,494;8,36;89397,24704370487;747339,45;87;
2017-01-10;8,269;8,344;8,269;8,569;8,231;8,269;8,324;319259,9185048311;2657560,15;161;
2017-01-09;8,081;8,156;7,743;9,096;7,667;8,156;8,407;419588,3735687461;3527518,2;414;
2017-01-05;7,63;7,667;7,705;7,743;7,592;7,667;7,643;58971,58577679157;450743,7;57;
2017-01-04;7,592;7,667;7,968;7,968;7,592;7,592;7,765;137932,50241784967;1070983,25;89;
2017-01-03;7,855;7,93;7,93;7,968;7,705;7,855;7,76;55750,89031410096;432644,4;89;
2017-01-02;7,78;7,893;8,118;8,118;7,78;7,818;7,864;70160,87513519339;551769,65;78;
2016-12-30;7,78;7,893;7,818;7,93;7,78;7,855;7,845;103442,72523250601;811537,65;128;
2016-12-29;7,818;7,93;7,743;7,93;7,743;7,818;7,818;79759,10634680545;623529,8;107;
