Date;Value
2019-01-23;1478.72
2019-01-22;1486.32
2019-01-21;1493.76
2019-01-18;1499.79
2019-01-17;1473.89
2019-01-16;1468.85
2019-01-15;1455.48
2019-01-14;1458.13
2019-01-11;1465.43
2019-01-10;1470.69
2019-01-09;1470.51
2019-01-08;1457.47
2019-01-07;1439.93
2019-01-04;1435.29
2019-01-03;1393.52
2019-01-02;1405.85
2018-12-28;1408.74
2018-12-27;1384.59
2018-12-21;1408.34
2018-12-20;1419.01
2018-12-19;1450.11
2018-12-18;1447.79
2018-12-17;1451.95
2018-12-14;1471.67
2018-12-13;1478.75
2018-12-12;1494.21
2018-12-11;1465.29
2018-12-10;1435.55
2018-12-07;1454.03
2018-12-06;1436.66
2018-12-05;1478.96
2018-12-04;1506.43
2018-12-03;1529.78
2018-11-30;1514.63
2018-11-29;1515.38
2018-11-28;1500.45
2018-11-27;1496.41
2018-11-26;1498.25
2018-11-23;1477.35
2018-11-22;1466.39
2018-11-21;1478.44
2018-11-20;1456.85
2018-11-19;1482.49
2018-11-16;1499.43
2018-11-15;1489.79
2018-11-14;1502.45
2018-11-13;1520.26
2018-11-12;1514.59
2018-11-09;1530.51
2018-11-08;1536.79
2018-11-07;1538.69
2018-11-06;1534.6
2018-11-05;1539.01
2018-11-02;1551.39
2018-11-01;1531.26
2018-10-31;1538.22
2018-10-30;1516
2018-10-29;1503.14
2018-10-26;1485.27
2018-10-25;1506.02
2018-10-24;1501.47
2018-10-23;1508.88
2018-10-22;1526.05
2018-10-19;1531.66
2018-10-18;1543.87
2018-10-17;1548.27
2018-10-16;1554.16
2018-10-15;1536.1
2018-10-12;1536.46
2018-10-11;1550.41
2018-10-10;1595.13
2018-10-09;1624.49
2018-10-08;1621.19
2018-10-05;1634.86
2018-10-04;1648.96
2018-10-03;1665.14
2018-10-02;1656.9
2018-10-01;1667.45
2018-09-28;1662.36
2018-09-27;1676.37
2018-09-26;1658.29
2018-09-25;1656.71
2018-09-24;1655.01
2018-09-21;1662.32
2018-09-20;1645.84
2018-09-19;1630.5
2018-09-18;1625.45
2018-09-17;1640.6
2018-09-14;1634.74
2018-09-13;1621.85
2018-09-12;1618.81
2018-09-11;1620.39
2018-09-10;1624.25
2018-09-07;1618.2
2018-09-06;1632.42
2018-09-05;1631.74
2018-09-04;1645.95
2018-09-03;1660.14
2018-08-31;1658.16
2018-08-30;1672.56
2018-08-29;1677.22
2018-08-28;1671.15
2018-08-27;1665.1
2018-08-24;1646.87
2018-08-23;1643.71
2018-08-22;1643.46
2018-08-21;1637.6
2018-08-20;1630.92
2018-08-17;1622.71
2018-08-16;1611.33
2018-08-15;1593.59
2018-08-14;1608.56
2018-08-13;1611.8
2018-08-10;1616.82
2018-08-09;1631.23
2018-08-08;1622.63
2018-08-07;1619.89
2018-08-06;1608.48
2018-08-03;1611.95
2018-08-02;1598.06
2018-08-01;1612.54
2018-07-31;1615.6
2018-07-30;1611.07
2018-07-27;1612.76
2018-07-26;1608.8
2018-07-25;1593.27
2018-07-24;1601.38
2018-07-23;1580.5
2018-07-20;1579.4
2018-07-19;1584.34
2018-07-18;1570.42
2018-07-17;1556.61
2018-07-16;1552.75
2018-07-13;1550.88
2018-07-12;1541.52
2018-07-11;1526.29
2018-07-10;1548.38
2018-07-09;1541.06
2018-07-06;1524.17
2018-07-05;1526.6
2018-07-04;1522.34
2018-07-03;1538.4
2018-07-02;1540.86
2018-06-29;1558.88
2018-06-28;1531.66
2018-06-27;1540.88
2018-06-26;1529.23
2018-06-25;1534.65
2018-06-21;1549.55
2018-06-20;1572.29
2018-06-19;1564.87
2018-06-18;1561.65
2018-06-15;1570.43
2018-06-14;1588
2018-06-13;1571.07
2018-06-12;1572.27
2018-06-11;1571.18
2018-06-08;1555.87
2018-06-07;1555.65
2018-06-05;1559.05
2018-06-04;1564.73
2018-06-01;1569.51
2018-05-31;1549.94
2018-05-30;1562.54
2018-05-29;1572.3
2018-05-28;1581.52
2018-05-25;1586.98
2018-05-24;1593.57
2018-05-23;1602.1
2018-05-22;1624.44
2018-05-21;1626.25
2018-05-18;1621.61
2018-05-17;1618.95
2018-05-16;1602.27
2018-05-15;1606.72
2018-05-14;1598.58
2018-05-11;1603.25
2018-05-09;1616.8
2018-05-08;1608.94
2018-05-07;1597.93
2018-05-04;1577.08
2018-05-03;1566.96
2018-05-02;1590.97
2018-04-30;1570.71
2018-04-27;1580.78
2018-04-26;1573.76
2018-04-25;1557.29
2018-04-24;1575.4
2018-04-23;1587.65
2018-04-20;1572.58
2018-04-19;1558.23
2018-04-18;1552.48
2018-04-17;1545.16
2018-04-16;1526.27
2018-04-13;1526.66
2018-04-12;1518.88
2018-04-11;1504.71
2018-04-10;1526.76
2018-04-09;1511.32
2018-04-06;1511.37
2018-04-05;1527.22
2018-04-04;1494.65
2018-04-03;1508.8
2018-03-29;1535.35
2018-03-28;1512.13
2018-03-27;1510.11
2018-03-26;1496.59
2018-03-23;1513.18
2018-03-22;1515.84
2018-03-21;1549.7
2018-03-20;1551.97
2018-03-19;1547.41
2018-03-16;1573.48
2018-03-15;1592.28
2018-03-14;1585.31
2018-03-13;1578.15
2018-03-12;1593.83
2018-03-09;1589.62
2018-03-08;1585.53
2018-03-07;1564.19
2018-03-06;1559.94
2018-03-05;1547.94
2018-03-02;1526.46
2018-03-01;1560.56
2018-02-28;1583.39
2018-02-27;1588.23
2018-02-26;1586.96
2018-02-23;1577.11
2018-02-22;1573.88
2018-02-21;1575.12
2018-02-20;1569.68
2018-02-19;1550.86
2018-02-16;1556.93
2018-02-15;1542.72
2018-02-14;1532.15
2018-02-13;1513.27
2018-02-12;1521.62
2018-02-09;1500.18
2018-02-08;1519.77
2018-02-07;1551.15
2018-02-06;1511.6
2018-02-05;1546.33
2018-02-02;1584.79
2018-02-01;1601.84
2018-01-31;1593.15
2018-01-30;1603.31
2018-01-29;1610.4
2018-01-26;1612.63
2018-01-25;1604.49
2018-01-24;1631.2
2018-01-23;1643.71
2018-01-22;1635.47
2018-01-19;1630.62
2018-01-18;1624.78
2018-01-17;1622.85
2018-01-16;1623.33
2018-01-15;1627.29
2018-01-12;1628.4
2018-01-11;1630.29
2018-01-10;1629.29
2018-01-09;1632.29
2018-01-08;1619.13
2018-01-05;1611.31
2018-01-04;1603.67
2018-01-03;1587.56
2018-01-02;1579.82
2017-12-29;1576.94
2017-12-28;1588.51
2017-12-27;1594.99
2017-12-22;1606.25
2017-12-21;1616.27
2017-12-20;1600.29
2017-12-19;1611.43
2017-12-18;1615.63
2017-12-15;1594.35
2017-12-14;1609.6
2017-12-13;1619.82
2017-12-12;1623.75
2017-12-11;1619.47
2017-12-08;1610.82
2017-12-07;1599.29
2017-12-06;1595.44
2017-12-05;1613.36
2017-12-04;1616.8
2017-12-01;1592.2
2017-11-30;1610.11
2017-11-29;1613.56
2017-11-28;1620.81
2017-11-27;1608.74
2017-11-24;1614.62
2017-11-23;1612.57
2017-11-22;1617.52
2017-11-21;1636.65
2017-11-20;1623.54
2017-11-17;1617.7
2017-11-16;1633.66
2017-11-15;1627
2017-11-14;1628.48
2017-11-13;1630.51
2017-11-10;1634.68
2017-11-09;1643.26
2017-11-08;1662.99
2017-11-07;1670.24
2017-11-06;1676.14
2017-11-03;1677.65
2017-11-02;1672.78
2017-11-01;1672.03
2017-10-31;1671.63
2017-10-30;1662.32
2017-10-27;1665.02
2017-10-26;1658.79
2017-10-25;1649.74
2017-10-24;1650.47
2017-10-23;1661.54
2017-10-20;1667.5
2017-10-19;1646.96
2017-10-18;1644.73
2017-10-17;1636.94
2017-10-16;1638.33
2017-10-13;1642.49
2017-10-12;1644.65
2017-10-11;1641.7
2017-10-10;1644.34
2017-10-09;1647.92
2017-10-06;1646.28
2017-10-05;1653.15
2017-10-04;1651.09
2017-10-03;1649.18
2017-10-02;1640.65
2017-09-29;1637.82
2017-09-28;1624.98
2017-09-27;1623.77
2017-09-26;1610.76
2017-09-25;1604.1
2017-09-22;1600.77
2017-09-21;1596.31
2017-09-20;1585.38
2017-09-19;1584.43
2017-09-18;1582.78
2017-09-15;1578.87
2017-09-14;1587.52
2017-09-13;1580.04
2017-09-12;1580.13
2017-09-11;1572.16
2017-09-08;1552.32
2017-09-07;1553.02
2017-09-06;1541.27
2017-09-05;1546.99
2017-09-04;1551.89
2017-09-01;1558.79
2017-08-31;1546.86
2017-08-30;1535.96
2017-08-29;1520.9
2017-08-28;1536.88
2017-08-25;1540.82
2017-08-24;1537.99
2017-08-23;1542.14
2017-08-22;1543.76
2017-08-21;1524.25
2017-08-18;1532.12
2017-08-17;1540.09
2017-08-16;1552.16
2017-08-15;1543.37
2017-08-14;1554.58
2017-08-11;1538.96
2017-08-10;1554.75
2017-08-09;1571.2
2017-08-08;1581.32
2017-08-07;1575.47
2017-08-04;1573.47
2017-08-03;1559.66
2017-08-02;1563.2
2017-08-01;1566.31
2017-07-31;1548.19
2017-07-28;1557.56
2017-07-27;1570.48
2017-07-26;1580.22
2017-07-25;1568.91
2017-07-24;1566.88
2017-07-21;1581.37
2017-07-20;1597.84
2017-07-19;1609.96
2017-07-18;1607.36
2017-07-17;1639.33
2017-07-14;1646.83
2017-07-13;1642.49
2017-07-12;1650.59
2017-07-11;1621.57
2017-07-10;1624.81
2017-07-07;1617
2017-07-06;1620.99
2017-07-05;1627.21
2017-07-04;1621.67
2017-07-03;1627.41
2017-06-30;1602.53
2017-06-29;1613.22
2017-06-28;1630.98
2017-06-27;1628.54
2017-06-26;1643.52
2017-06-22;1645.36
2017-06-21;1641.71
2017-06-20;1647.67
2017-06-19;1653.4
2017-06-16;1635.93
2017-06-15;1624.97
2017-06-14;1639.59
2017-06-13;1648.61
2017-06-12;1638.8
2017-06-09;1654.8
2017-06-08;1643.77
2017-06-07;1640.54
2017-06-05;1637.9
2017-06-02;1646.67
2017-06-01;1641.32
2017-05-31;1639.11
2017-05-30;1639.74
2017-05-29;1631.91
2017-05-26;1635.77
2017-05-24;1638.89
2017-05-23;1641.71
2017-05-22;1629.21
2017-05-19;1629.21
2017-05-18;1615.27
2017-05-17;1628.37
2017-05-16;1653.06
2017-05-15;1649.84
2017-05-12;1646.45
2017-05-11;1642.02
2017-05-10;1649.65
2017-05-09;1653.11
2017-05-08;1639.49
2017-05-05;1642.04
2017-05-04;1638.33
2017-05-03;1633.99
2017-05-02;1636.51
2017-04-28;1626.99
2017-04-27;1616.58
2017-04-26;1620.28
2017-04-25;1617.05
2017-04-24;1609.27
2017-04-21;1573.25
2017-04-20;1568.74
2017-04-19;1565.73
2017-04-18;1557.21
2017-04-13;1572.81
2017-04-12;1575.02
2017-04-11;1570.91
2017-04-10;1572.47
2017-04-07;1569.67
2017-04-06;1564.05
2017-04-05;1558.56
2017-04-04;1567.3
2017-04-03;1571.41
2017-03-31;1587.63
2017-03-30;1583.88
2017-03-29;1584.43
2017-03-28;1580.09
2017-03-27;1574.51
2017-03-24;1579.7
2017-03-23;1581.28
2017-03-22;1562.96
2017-03-21;1570.88
2017-03-20;1583.25
2017-03-17;1584.97
2017-03-16;1593.25
2017-03-15;1588.89
2017-03-14;1586
2017-03-13;1594.71
2017-03-10;1587.93
2017-03-09;1583.73
2017-03-08;1578.23
2017-03-07;1575.77
2017-03-06;1575.52
2017-03-03;1581.32
2017-03-02;1580.53
2017-03-01;1591.37
2017-02-28;1570.17
2017-02-27;1564.63
2017-02-24;1569.86
2017-02-23;1588.3
2017-02-22;1582.13
2017-02-21;1590.09
2017-02-20;1576.33
2017-02-17;1570.59
2017-02-16;1576.33
2017-02-15;1574.02
2017-02-14;1569.75
2017-02-13;1572.18
2017-02-10;1562.73
2017-02-09;1557.5
2017-02-08;1549.24
2017-02-07;1550.94
2017-02-06;1548.9
2017-02-03;1557.31
2017-02-02;1551.85
2017-02-01;1547.31
2017-01-31;1536.75
2017-01-30;1528.89
2017-01-27;1538.76
2017-01-26;1553.89
2017-01-25;1545.99
2017-01-24;1522.85
2017-01-23;1504.69
2017-01-20;1525.49
2017-01-19;1513.92
2017-01-18;1515.99
2017-01-17;1507.32
2017-01-16;1512.97
2017-01-13;1522.49
2017-01-12;1503.31
2017-01-11;1511.88
2017-01-10;1510.09
2017-01-09;1509.82
2017-01-05;1522.1
2017-01-04;1530.93
2017-01-03;1534.7
2017-01-02;1526.83
2016-12-30;1517.2
2016-12-29;1518.37
2016-12-28;1527.3
2016-12-27;1533.31
2016-12-23;1525.8
2016-12-22;1519.54
2016-12-21;1525.47
2016-12-20;1536.72
2016-12-19;1542.71
2016-12-16;1548.2
2016-12-15;1550.52
2016-12-14;1541.39
2016-12-13;1551
2016-12-12;1537.93
2016-12-09;1534.27
2016-12-08;1520.15
2016-12-07;1503.95
2016-12-06;1492.17
2016-12-05;1483.29
2016-12-02;1470.08
2016-12-01;1477.95
2016-11-30;1481.14
2016-11-29;1467.18
2016-11-28;1472.68
2016-11-25;1491.23
2016-11-24;1484.33
2016-11-23;1482.63
2016-11-22;1485.05
2016-11-21;1478.58
2016-11-18;1476.47
2016-11-17;1472.05
2016-11-16;1458.25
2016-11-15;1466.46
2016-11-14;1443.08
2016-11-11;1451.53
2016-11-10;1460.52
2016-11-09;1456.71
2016-11-08;1439.43
2016-11-07;1431.77
2016-11-04;1406.1
2016-11-03;1421.01
2016-11-02;1417.37
2016-11-01;1431.87
2016-10-31;1446.35
2016-10-28;1459.36
2016-10-27;1456.55
2016-10-26;1454.21
2016-10-25;1451.27
2016-10-24;1456.79
2016-10-21;1464.85
2016-10-20;1465.84
2016-10-19;1455.27
2016-10-18;1458.63
2016-10-17;1438.28
2016-10-14;1446
2016-10-13;1426.69
2016-10-12;1442.5
2016-10-11;1455.41
2016-10-10;1467.45
2016-10-07;1451.65
2016-10-06;1458.38
2016-10-05;1452.5
2016-10-04;1456.22
2016-10-03;1443.46
2016-09-30;1439.08
2016-09-29;1434.81
2016-09-28;1425.24
2016-09-27;1421.2
2016-09-26;1418.19
2016-09-23;1437.52
2016-09-22;1446.01
2016-09-21;1422.66
2016-09-20;1418.44
2016-09-19;1419.01
2016-09-16;1405.31
2016-09-15;1416.83
2016-09-14;1409.89
2016-09-13;1410.79
2016-09-12;1417.36
2016-09-09;1426.56
2016-09-08;1440.03
2016-09-07;1441.52
2016-09-06;1435.19
2016-09-05;1440.76
2016-09-02;1437.24
2016-09-01;1417.59
2016-08-31;1418.14
2016-08-30;1418.43
2016-08-29;1411.98
2016-08-26;1411.65
2016-08-25;1405.08
2016-08-24;1412.94
2016-08-23;1406.55
2016-08-22;1391.47
2016-08-19;1393.61
2016-08-18;1403.02
2016-08-17;1392.05
2016-08-16;1406.26
2016-08-15;1421.58
2016-08-12;1414.21
2016-08-11;1416.9
2016-08-10;1405.99
2016-08-09;1411.35
2016-08-08;1385.68
2016-08-05;1378.83
2016-08-04;1365.85
2016-08-03;1352.34
2016-08-02;1358.62
2016-08-01;1379.46
2016-07-29;1386.66
2016-07-28;1382.08
2016-07-27;1387.51
2016-07-26;1382.73
2016-07-25;1385.97
2016-07-22;1377.47
2016-07-21;1381.7
2016-07-20;1386.59
2016-07-19;1371.9
2016-07-18;1368.25
2016-07-15;1372.8
2016-07-14;1364.92
2016-07-13;1356.35
2016-07-12;1354.51
2016-07-11;1350.09
2016-07-08;1326.21
2016-07-07;1305.33
2016-07-06;1284.58
2016-07-05;1303.01
2016-07-04;1325.54
2016-07-01;1340.26
2016-06-30;1323.57
2016-06-29;1309.57
2016-06-28;1278.52
2016-06-27;1246.1
2016-06-23;1360.73
2016-06-22;1354.6
2016-06-21;1344.59
2016-06-20;1340.29
2016-06-17;1298.38
2016-06-16;1278.71
2016-06-15;1304.09
2016-06-14;1273.97
2016-06-13;1294.51
2016-06-10;1315.06
2016-06-09;1344
2016-06-08;1361.49
2016-06-07;1367.15
2016-06-03;1345.44
2016-06-02;1359.14
2016-06-01;1356.75
2016-05-31;1369.48
2016-05-30;1379.8
2016-05-27;1376.5
2016-05-26;1376.15
2016-05-25;1367.07
2016-05-24;1357.1
2016-05-23;1338.97
2016-05-20;1342.68
2016-05-19;1321.8
2016-05-18;1340.93
2016-05-17;1331.71
2016-05-16;1336.14
2016-05-13;1323.18
2016-05-12;1312.28
2016-05-11;1326.13
2016-05-10;1332.58
2016-05-09;1328.2
2016-05-06;1309.17
2016-05-04;1319.17
2016-05-03;1335.39
2016-05-02;1352.91
2016-04-29;1360.71
2016-04-28;1389.61
2016-04-27;1386.78
2016-04-26;1389.8
2016-04-25;1389.57
2016-04-22;1396.37
2016-04-21;1409.49
2016-04-20;1419.67
2016-04-19;1410.87
2016-04-18;1381.89
2016-04-15;1381.33
2016-04-14;1384.11
2016-04-13;1392.59
2016-04-12;1366.6
2016-04-11;1368.62
2016-04-08;1364.94
2016-04-07;1330.84
2016-04-06;1349.02
2016-04-05;1333.85
2016-04-04;1361.86
2016-04-01;1358.22
2016-03-31;1365.7
2016-03-30;1376.82
2016-03-29;1348.7
2016-03-24;1345.34
2016-03-23;1368.21
2016-03-22;1382.44
2016-03-21;1377.56
2016-03-18;1391.38
2016-03-17;1390.86
2016-03-16;1393.1
2016-03-15;1403.95
2016-03-14;1424.19
2016-03-11;1418.39
2016-03-10;1385.06
2016-03-09;1398.47
2016-03-08;1390.58
2016-03-07;1397.04
2016-03-04;1403.77
2016-03-03;1389.45
2016-03-02;1383.71
2016-03-01;1391.45
2016-02-29;1372.54
2016-02-26;1370.8
2016-02-25;1360.97
2016-02-24;1327.85
2016-02-23;1366.53
2016-02-22;1385.74
2016-02-19;1355.95
2016-02-18;1362.98
2016-02-17;1374.25
2016-02-16;1328.14
2016-02-15;1336.17
2016-02-12;1286.67
2016-02-11;1247.06
2016-02-10;1297.82
2016-02-09;1271.45
2016-02-08;1273.95
2016-02-05;1330.11
2016-02-04;1333.72
2016-02-03;1305.49
2016-02-02;1320.29
2016-02-01;1342.43
2016-01-29;1356.32
2016-01-28;1333.32
2016-01-27;1365.59
2016-01-26;1375.74
2016-01-25;1354.41
2016-01-22;1361.36
2016-01-21;1312.6
2016-01-20;1290.95
2016-01-19;1332.17
2016-01-18;1306.02
2016-01-15;1305.24
2016-01-14;1339.47
2016-01-13;1360.98
2016-01-12;1351.26
2016-01-11;1348.64
2016-01-08;1348.76
2016-01-07;1357.12
2016-01-05;1387.03
2016-01-04;1394.39
2015-12-30;1446.82
2015-12-29;1452.95
2015-12-28;1434.06
2015-12-23;1446.69
2015-12-22;1413.74
2015-12-21;1419.13
2015-12-18;1422.63
2015-12-17;1438.32
2015-12-16;1428.02
2015-12-15;1426.47
2015-12-14;1389.26
2015-12-11;1401.14
2015-12-10;1433.41
2015-12-09;1440.94
2015-12-08;1454.99
2015-12-07;1494.52
2015-12-04;1485.32
2015-12-03;1502.41
2015-12-02;1533.87
2015-12-01;1530.52
2015-11-30;1536.05
2015-11-27;1522
2015-11-26;1522.28
2015-11-25;1506.52
2015-11-24;1488.89
2015-11-23;1515.8
2015-11-20;1521.87
2015-11-19;1512.77
2015-11-18;1514.18
2015-11-17;1513.93
2015-11-16;1479.04
2015-11-13;1476.21
2015-11-12;1488.4
2015-11-11;1511.46
2015-11-10;1499.4
2015-11-09;1511.55
2015-11-06;1526.49
2015-11-05;1523.25
2015-11-04;1529.43
2015-11-03;1507.45
2015-11-02;1502.44
2015-10-30;1499.23
2015-10-29;1495.86
2015-10-28;1499.64
2015-10-27;1487.03
2015-10-26;1506.16
2015-10-23;1506.59
2015-10-22;1484.47
2015-10-21;1452.09
2015-10-20;1466.67
2015-10-19;1458
2015-10-16;1452.36
2015-10-15;1453.87
2015-10-14;1442.75
2015-10-13;1460.11
2015-10-12;1481.43
2015-10-09;1483.74
2015-10-08;1464.49
2015-10-07;1452.01
2015-10-06;1457.15
2015-10-05;1456.97
2015-10-02;1412.86
2015-10-01;1404.45
2015-09-30;1416.89
2015-09-29;1391.88
2015-09-28;1389.38
2015-09-25;1418.47
2015-09-24;1381.87
2015-09-23;1421.5
2015-09-22;1425.39
2015-09-21;1462.66
2015-09-18;1453.11
2015-09-17;1486.46
2015-09-16;1483.66
2015-09-15;1469.08
2015-09-14;1467.73
2015-09-11;1488.41
2015-09-10;1494.35
2015-09-09;1507.15
2015-09-08;1488.88
2015-09-07;1471.75
2015-09-04;1461.46
2015-09-03;1500.21
2015-09-02;1471.51
2015-09-01;1469.86
2015-08-31;1501.07
2015-08-28;1509.71
2015-08-27;1502.86
2015-08-26;1458.2
2015-08-25;1483.35
2015-08-24;1428.08
2015-08-21;1495.36
2015-08-20;1534.39
2015-08-19;1553.51
2015-08-18;1583.53
2015-08-17;1592.81
2015-08-14;1586.83
2015-08-13;1594.15
2015-08-12;1575.04
2015-08-11;1614.72
